Pedal	Category	Type	Current Rating	Current Tag	New Rating	New Tag
=HYPERLINK("https://www.google.com/search?q=Fishman%20Aura%20Spectrum%20DI%20guitar%20pedal"; "Fishman Aura Spectrum DI")	eq	Acoustic	9	surgical		
=HYPERLINK("https://www.google.com/search?q=Joyo%20JF-11%206-Band%20EQ%20guitar%20pedal"; "Joyo JF-11 6-Band EQ")	eq	Graphic	5	sculptor		
=HYPERLINK("https://www.google.com/search?q=LR%20Baggs%20Align%20EQ%20guitar%20pedal"; "LR Baggs Align EQ")	eq	Acoustic	8	surgical		
=HYPERLINK("https://www.google.com/search?q=Mooer%20Graphic%20G%20guitar%20pedal"; "Mooer Graphic G")	eq	Graphic	5	sculptor		
=HYPERLINK("https://www.google.com/search?q=MXR%20M108S%2010-Band%20EQ%20guitar%20pedal"; "MXR M108S 10-Band EQ")	eq	Graphic	9	surgical		
=HYPERLINK("https://www.google.com/search?q=MXR%20M109S%206-Band%20EQ%20guitar%20pedal"; "MXR M109S 6-Band EQ")	eq	Graphic	6	sculptor		
=HYPERLINK("https://www.google.com/search?q=MXR%20M133%20Micro%20Amp%20guitar%20pedal"; "MXR M133 Micro Amp")	eq	Boost	5	sculptor		
=HYPERLINK("https://www.google.com/search?q=MXR%20M80%20Bass%20D.I.%2B%20guitar%20pedal"; "MXR M80 Bass D.I.+")	eq	Bass Preamp	8	surgical		
=HYPERLINK("https://www.google.com/search?q=Source%20Audio%20EQ2%20guitar%20pedal"; "Source Audio EQ2")	eq	Graphic	10	surgical		
=HYPERLINK("https://www.google.com/search?q=Suhr%20Koko%20Boost%20guitar%20pedal"; "Suhr Koko Boost")	eq	Boost	8	surgical		
=HYPERLINK("https://www.google.com/search?q=TC%20Electronic%20BodyRez%20guitar%20pedal"; "TC Electronic BodyRez")	eq	Acoustic	6	sculptor		
=HYPERLINK("https://www.google.com/search?q=Tech%2021%20SansAmp%20Bass%20Driver%20DI%20guitar%20pedal"; "Tech 21 SansAmp Bass Driver DI")	eq	Bass Preamp	8	surgical		
=HYPERLINK("https://www.google.com/search?q=Wampler%20EQuator%20guitar%20pedal"; "Wampler EQuator")	eq	Parametric	9	surgical		
=HYPERLINK("https://www.google.com/search?q=Z.Vex%20Super%20Hard%20On%20guitar%20pedal"; "Z.Vex Super Hard On")	eq	Boost	6	sculptor		
=HYPERLINK("https://www.google.com/search?q=3Leaf%20Audio%20Proton%20V3%20guitar%20pedal"; "3Leaf Audio Proton V3")	filter	Envelope	9	talking		
=HYPERLINK("https://www.google.com/search?q=Aguilar%20Filter%20Twin%20guitar%20pedal"; "Aguilar Filter Twin")	filter	Envelope	9	talking		
=HYPERLINK("https://www.google.com/search?q=Behringer%20FM600%20Filter%20Machine%20guitar%20pedal"; "Behringer FM600 Filter Machine")	filter	Envelope	4	quack doctor		
=HYPERLINK("https://www.google.com/search?q=Boss%20AW-3%20Dynamic%20Wah%20guitar%20pedal"; "Boss AW-3 Dynamic Wah")	filter	Envelope	7	street sweeper		
=HYPERLINK("https://www.google.com/search?q=Boss%20FT-2%20Dynamic%20Filter%20guitar%20pedal"; "Boss FT-2 Dynamic Filter")	filter	Envelope	7	street sweeper		
=HYPERLINK("https://www.google.com/search?q=Boss%20PW-3%20Wah%20guitar%20pedal"; "Boss PW-3 Wah")	filter	Wah	6	funky chicken		
=HYPERLINK("https://www.google.com/search?q=DOD%20440%20Envelope%20Filter%20guitar%20pedal"; "DOD 440 Envelope Filter")	filter	Envelope	7	street sweeper		
=HYPERLINK("https://www.google.com/search?q=Dunlop%20535Q%20Multi-Wah%20guitar%20pedal"; "Dunlop 535Q Multi-Wah")	filter	Wah	8	street sweeper		
=HYPERLINK("https://www.google.com/search?q=Dunlop%20CBM95%20Cry%20Baby%20Mini%20guitar%20pedal"; "Dunlop CBM95 Cry Baby Mini")	filter	Wah	6	funky chicken		
=HYPERLINK("https://www.google.com/search?q=Dunlop%20Cry%20Baby%2095Q%20guitar%20pedal"; "Dunlop Cry Baby 95Q")	filter	Wah	6	funky chicken		
=HYPERLINK("https://www.google.com/search?q=Dunlop%20Cry%20Baby%20GCB95%20guitar%20pedal"; "Dunlop Cry Baby GCB95")	filter	Wah	5	funky chicken		
=HYPERLINK("https://www.google.com/search?q=Dunlop%20Cry%20Baby%20Mini%20guitar%20pedal"; "Dunlop Cry Baby Mini")	filter	Wah	5	funky chicken		
=HYPERLINK("https://www.google.com/search?q=Dunlop%20JH-1D%20Jimi%20Hendrix%20Wah%20guitar%20pedal"; "Dunlop JH-1D Jimi Hendrix Wah")	filter	Wah	6	funky chicken		
=HYPERLINK("https://www.google.com/search?q=EarthQuaker%20Devices%20Spatial%20Delivery%20V2%20guitar%20pedal"; "EarthQuaker Devices Spatial Delivery V2")	filter	Envelope	8	street sweeper		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Enigma%3A%20Q-Balls%20guitar%20pedal"; "Electro-Harmonix Enigma: Q-Balls")	filter	Envelope	9	talking		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Micro%20Q-Tron%20guitar%20pedal"; "Electro-Harmonix Micro Q-Tron")	filter	Envelope	6	funky chicken		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Q-Tron%2B%20guitar%20pedal"; "Electro-Harmonix Q-Tron+")	filter	Envelope	8	street sweeper		
=HYPERLINK("https://www.google.com/search?q=Fulltone%20Clyde%20Standard%20guitar%20pedal"; "Fulltone Clyde Standard")	filter	Wah	8	street sweeper		
=HYPERLINK("https://www.google.com/search?q=Fulltone%20Clyde%20Standard%20Wah%20guitar%20pedal"; "Fulltone Clyde Standard Wah")	filter	Wah	7	street sweeper		
=HYPERLINK("https://www.google.com/search?q=Joyo%20JF-09%20Wow%20Wah%20guitar%20pedal"; "Joyo JF-09 Wow Wah")	filter	Envelope	5	funky chicken		
=HYPERLINK("https://www.google.com/search?q=Lovetone%20Meatball%20guitar%20pedal"; "Lovetone Meatball")	filter	Envelope	10	talking		
=HYPERLINK("https://www.google.com/search?q=Mad%20Professor%20Snow%20White%20Auto%20Wah%20guitar%20pedal"; "Mad Professor Snow White Auto Wah")	filter	Envelope	8	street sweeper		
=HYPERLINK("https://www.google.com/search?q=Malekko%20Scrutator%20guitar%20pedal"; "Malekko Scrutator")	filter	Bitcrusher	8	street sweeper		
=HYPERLINK("https://www.google.com/search?q=Mooer%20Envelope%20guitar%20pedal"; "Mooer Envelope")	filter	Envelope	5	funky chicken		
=HYPERLINK("https://www.google.com/search?q=Moog%20MF-101%20Lowpass%20Filter%20guitar%20pedal"; "Moog MF-101 Lowpass Filter")	filter	Lowpass	10	talking		
=HYPERLINK("https://www.google.com/search?q=Morley%2020%2F20%20Wah%20guitar%20pedal"; "Morley 20/20 Wah")	filter	Wah	6	funky chicken		
=HYPERLINK("https://www.google.com/search?q=Morley%20Bad%20Horsie%202%20guitar%20pedal"; "Morley Bad Horsie 2")	filter	Wah	7	street sweeper		
=HYPERLINK("https://www.google.com/search?q=Morley%20Classic%20Wah%20guitar%20pedal"; "Morley Classic Wah")	filter	Wah	6	funky chicken		
=HYPERLINK("https://www.google.com/search?q=Mu-Tron%20Micro-Tron%20III%20guitar%20pedal"; "Mu-Tron Micro-Tron III")	filter	Envelope	9	talking		
=HYPERLINK("https://www.google.com/search?q=Mu-Tron%20Mu-Tron%20III%20guitar%20pedal"; "Mu-Tron Mu-Tron III")	filter	Envelope	9	talking		
=HYPERLINK("https://www.google.com/search?q=MXR%20M82%20Envelope%20Filter%20guitar%20pedal"; "MXR M82 Envelope Filter")	filter	Envelope	8	street sweeper		
=HYPERLINK("https://www.google.com/search?q=MXR%20MC404%20CAE%20Wah%20guitar%20pedal"; "MXR MC404 CAE Wah")	filter	Wah	8	street sweeper		
=HYPERLINK("https://www.google.com/search?q=Pigtronix%20EP2%20guitar%20pedal"; "Pigtronix EP2")	filter	Envelope	9	talking		
=HYPERLINK("https://www.google.com/search?q=Real%20McCoy%20Custom%20RMC3%20FL%20guitar%20pedal"; "Real McCoy Custom RMC3 FL")	filter	Wah	9	talking		
=HYPERLINK("https://www.google.com/search?q=Source%20Audio%20Spectrum%20guitar%20pedal"; "Source Audio Spectrum")	filter	Envelope	10	talking		
=HYPERLINK("https://www.google.com/search?q=Subdecay%20Prometheus%20DLX%20guitar%20pedal"; "Subdecay Prometheus DLX")	filter	Envelope	9	talking		
=HYPERLINK("https://www.google.com/search?q=Vox%20V845%20Classic%20Wah%20guitar%20pedal"; "Vox V845 Classic Wah")	filter	Wah	5	funky chicken		
=HYPERLINK("https://www.google.com/search?q=Vox%20V847-A%20Wah%20guitar%20pedal"; "Vox V847-A Wah")	filter	Wah	6	funky chicken		
=HYPERLINK("https://www.google.com/search?q=Wilson%20Effects%20Ten%20Spot%20II%20guitar%20pedal"; "Wilson Effects Ten Spot II")	filter	Wah	8	street sweeper		
=HYPERLINK("https://www.google.com/search?q=WMD%20Protostar%20guitar%20pedal"; "WMD Protostar")	filter	Envelope	9	talking		
=HYPERLINK("https://www.google.com/search?q=Xotic%20XW-1%20guitar%20pedal"; "Xotic XW-1")	filter	Wah	8	street sweeper		
=HYPERLINK("https://www.google.com/search?q=Z.Vex%20Seek%20Wah%20guitar%20pedal"; "Z.Vex Seek Wah")	filter	Sequenced	9	talking		
=HYPERLINK("https://www.google.com/search?q=Ampeg%20Scrambler%20guitar%20pedal"; "Ampeg Scrambler")	gain	Fuzz	8	screamer		
=HYPERLINK("https://www.google.com/search?q=Amptweaker%20TightMetal%20Pro%20II%20guitar%20pedal"; "Amptweaker TightMetal Pro II")	gain	Distortion	9	melt my face		
=HYPERLINK("https://www.google.com/search?q=Analog%20Man%20Beano%20Boost%20guitar%20pedal"; "Analog Man Beano Boost")	gain	Boost	3	dirty bird		
=HYPERLINK("https://www.google.com/search?q=Analog%20Man%20King%20of%20Tone%20guitar%20pedal"; "Analog Man King of Tone")	gain	Overdrive	4	dirty bird		
=HYPERLINK("https://www.google.com/search?q=Analog%20Man%20Prince%20of%20Tone%20guitar%20pedal"; "Analog Man Prince of Tone")	gain	Overdrive	4	dirty bird		
=HYPERLINK("https://www.google.com/search?q=Analog%20Man%20Sun%20Face%20guitar%20pedal"; "Analog Man Sun Face")	gain	Fuzz	7	screamer		
=HYPERLINK("https://www.google.com/search?q=Barber%20Electronics%20Gain%20Changer%20guitar%20pedal"; "Barber Electronics Gain Changer")	gain	Overdrive	4	dirty bird		
=HYPERLINK("https://www.google.com/search?q=Benson%20Amps%20Preamp%20Pedal%20guitar%20pedal"; "Benson Amps Preamp Pedal")	gain	Overdrive	5	burner		
=HYPERLINK("https://www.google.com/search?q=Black%20Arts%20Toneworks%20Pharaoh%20guitar%20pedal"; "Black Arts Toneworks Pharaoh")	gain	Fuzz	9	melt my face		
=HYPERLINK("https://www.google.com/search?q=Blackstar%20LT-Drive%20guitar%20pedal"; "Blackstar LT-Drive")	gain	Overdrive	5	burner		
=HYPERLINK("https://www.google.com/search?q=Bogner%20Ecstasy%20Blue%20guitar%20pedal"; "Bogner Ecstasy Blue")	gain	Distortion	6	burner		
=HYPERLINK("https://www.google.com/search?q=Bogner%20Ecstasy%20Red%20guitar%20pedal"; "Bogner Ecstasy Red")	gain	Distortion	8	screamer		
=HYPERLINK("https://www.google.com/search?q=Bogner%20%C3%9Cberschall%20Pedal%20guitar%20pedal"; "Bogner Überschall Pedal")	gain	Distortion	9	melt my face		
=HYPERLINK("https://www.google.com/search?q=Bondi%20Effects%20Sick%20As%20Overdrive%20guitar%20pedal"; "Bondi Effects Sick As Overdrive")	gain	Overdrive	4	dirty bird		
=HYPERLINK("https://www.google.com/search?q=Boss%20BD-2%20Blues%20Driver%20guitar%20pedal"; "Boss BD-2 Blues Driver")	gain	Overdrive	4	dirty bird		
=HYPERLINK("https://www.google.com/search?q=Boss%20BD-2W%20Waza%20Craft%20Blues%20Driver%20guitar%20pedal"; "Boss BD-2W Waza Craft Blues Driver")	gain	Overdrive	4	dirty bird		
=HYPERLINK("https://www.google.com/search?q=Boss%20DA-2%20Adaptive%20Distortion%20guitar%20pedal"; "Boss DA-2 Adaptive Distortion")	gain	Distortion	7	screamer		
=HYPERLINK("https://www.google.com/search?q=Boss%20DS-1%20Distortion%20guitar%20pedal"; "Boss DS-1 Distortion")	gain	Distortion	6	burner		
=HYPERLINK("https://www.google.com/search?q=Boss%20DS-1W%20Waza%20Craft%20Distortion%20guitar%20pedal"; "Boss DS-1W Waza Craft Distortion")	gain	Distortion	6	burner		
=HYPERLINK("https://www.google.com/search?q=Boss%20DS-2%20Turbo%20Distortion%20guitar%20pedal"; "Boss DS-2 Turbo Distortion")	gain	Distortion	7	screamer		
=HYPERLINK("https://www.google.com/search?q=Boss%20FB-2%20Feedbacker%2FBooster%20guitar%20pedal"; "Boss FB-2 Feedbacker/Booster")	gain	Boost	3	dirty bird		
=HYPERLINK("https://www.google.com/search?q=Boss%20FZ-1W%20Waza%20Craft%20Fuzz%20guitar%20pedal"; "Boss FZ-1W Waza Craft Fuzz")	gain	Fuzz	7	screamer		
=HYPERLINK("https://www.google.com/search?q=Boss%20HM-2%20Heavy%20Metal%20guitar%20pedal"; "Boss HM-2 Heavy Metal")	gain	Distortion	9	melt my face		
=HYPERLINK("https://www.google.com/search?q=Boss%20MD-2%20Mega%20Distortion%20guitar%20pedal"; "Boss MD-2 Mega Distortion")	gain	Distortion	8	screamer		
=HYPERLINK("https://www.google.com/search?q=Boss%20MT-2%20Metal%20Zone%20guitar%20pedal"; "Boss MT-2 Metal Zone")	gain	Distortion	9	melt my face		
=HYPERLINK("https://www.google.com/search?q=Boss%20MT-2%20Metal%20Zone%20guitar%20pedal"; "Boss MT-2 Metal Zone")	gain	Distortion	8	screamer		
=HYPERLINK("https://www.google.com/search?q=Boss%20MT-2W%20Waza%20Craft%20Metal%20Zone%20guitar%20pedal"; "Boss MT-2W Waza Craft Metal Zone")	gain	Distortion	9	melt my face		
=HYPERLINK("https://www.google.com/search?q=Boss%20MT-2W%20Waza%20Craft%20Metal%20Zone%20guitar%20pedal"; "Boss MT-2W Waza Craft Metal Zone")	gain	Distortion	8	screamer		
=HYPERLINK("https://www.google.com/search?q=Boss%20OD-1X%20Overdrive%20guitar%20pedal"; "Boss OD-1X Overdrive")	gain	Overdrive	5	burner		
=HYPERLINK("https://www.google.com/search?q=Boss%20OD-3%20OverDrive%20guitar%20pedal"; "Boss OD-3 OverDrive")	gain	Overdrive	5	burner		
=HYPERLINK("https://www.google.com/search?q=Boss%20SD-1%20Super%20Overdrive%20guitar%20pedal"; "Boss SD-1 Super Overdrive")	gain	Overdrive	4	dirty bird		
=HYPERLINK("https://www.google.com/search?q=Boss%20SD-1W%20Waza%20Craft%20Super%20Overdrive%20guitar%20pedal"; "Boss SD-1W Waza Craft Super Overdrive")	gain	Overdrive	4	dirty bird		
=HYPERLINK("https://www.google.com/search?q=Boss%20ST-2%20Power%20Stack%20guitar%20pedal"; "Boss ST-2 Power Stack")	gain	Distortion	7	screamer		
=HYPERLINK("https://www.google.com/search?q=BSM%20RM%20Treble%20Booster%20guitar%20pedal"; "BSM RM Treble Booster")	gain	Boost	3	dirty bird		
=HYPERLINK("https://www.google.com/search?q=Caroline%20Guitar%20Company%20Shigeharu%20guitar%20pedal"; "Caroline Guitar Company Shigeharu")	gain	Fuzz	8	screamer		
=HYPERLINK("https://www.google.com/search?q=Catalinbread%20Naga%20Viper%20guitar%20pedal"; "Catalinbread Naga Viper")	gain	Boost	3	dirty bird		
=HYPERLINK("https://www.google.com/search?q=Ceriatone%20Centura%20guitar%20pedal"; "Ceriatone Centura")	gain	Overdrive	3	dirty bird		
=HYPERLINK("https://www.google.com/search?q=Chase%20Bliss%20Audio%20Condor%20guitar%20pedal"; "Chase Bliss Audio Condor")	gain	Boost	4	dirty bird		
=HYPERLINK("https://www.google.com/search?q=CMATMODS%20Brownie%20guitar%20pedal"; "CMATMODS Brownie")	gain	Overdrive	5	burner		
=HYPERLINK("https://www.google.com/search?q=Colorsound%20Overdriver%20guitar%20pedal"; "Colorsound Overdriver")	gain	Overdrive	6	burner		
=HYPERLINK("https://www.google.com/search?q=Colorsound%20Power%20Boost%20guitar%20pedal"; "Colorsound Power Boost")	gain	Boost	4	dirty bird		
=HYPERLINK("https://www.google.com/search?q=Crowther%20Audio%20Hotcake%20guitar%20pedal"; "Crowther Audio Hotcake")	gain	Overdrive	5	burner		
=HYPERLINK("https://www.google.com/search?q=Dallas%20Arbiter%20Fuzz%20Face%20(Germanium)%20guitar%20pedal"; "Dallas Arbiter Fuzz Face (Germanium)")	gain	Fuzz	7	screamer		
=HYPERLINK("https://www.google.com/search?q=Dallas%20Arbiter%20Fuzz%20Face%20(Silicon)%20guitar%20pedal"; "Dallas Arbiter Fuzz Face (Silicon)")	gain	Fuzz	8	screamer		
=HYPERLINK("https://www.google.com/search?q=Death%20By%20Audio%20Apocalypse%20guitar%20pedal"; "Death By Audio Apocalypse")	gain	Fuzz	10	melt my face		
=HYPERLINK("https://www.google.com/search?q=Death%20By%20Audio%20Fuzz%20War%20guitar%20pedal"; "Death By Audio Fuzz War")	gain	Fuzz	9	melt my face		
=HYPERLINK("https://www.google.com/search?q=Death%20By%20Audio%20Supersonic%20Fuzz%20Gun%20guitar%20pedal"; "Death By Audio Supersonic Fuzz Gun")	gain	Fuzz	10	melt my face		
=HYPERLINK("https://www.google.com/search?q=Death%20By%20Audio%20Supersonic%20Fuzz%20Gun%20guitar%20pedal"; "Death By Audio Supersonic Fuzz Gun")	gain	Fuzz	9	melt my face		
=HYPERLINK("https://www.google.com/search?q=Diezel%20Herbert%20Pedal%20guitar%20pedal"; "Diezel Herbert Pedal")	gain	Distortion	9	melt my face		
=HYPERLINK("https://www.google.com/search?q=Diezel%20VH4%20Pedal%20guitar%20pedal"; "Diezel VH4 Pedal")	gain	Distortion	9	melt my face		
=HYPERLINK("https://www.google.com/search?q=DigiTech%20Dirty%20Robot%20Stereo%20Mini%20Synth%20guitar%20pedal"; "DigiTech Dirty Robot Stereo Mini Synth")	gain	Distortion	8	screamer		
=HYPERLINK("https://www.google.com/search?q=DOD%20250%20Overdrive%20Preamp%20(Yellow)%20guitar%20pedal"; "DOD 250 Overdrive Preamp (Yellow)")	gain	Overdrive	5	burner		
=HYPERLINK("https://www.google.com/search?q=Dunlop%20FFM1%20Fuzz%20Face%20Mini%20Silicon%20guitar%20pedal"; "Dunlop FFM1 Fuzz Face Mini Silicon")	gain	Fuzz	7	screamer		
=HYPERLINK("https://www.google.com/search?q=Dunlop%20FFM2%20Fuzz%20Face%20Mini%20Germanium%20guitar%20pedal"; "Dunlop FFM2 Fuzz Face Mini Germanium")	gain	Fuzz	6	burner		
=HYPERLINK("https://www.google.com/search?q=Dunlop%20FFM3%20Fuzz%20Face%20Mini%20Hendrix%20guitar%20pedal"; "Dunlop FFM3 Fuzz Face Mini Hendrix")	gain	Fuzz	7	screamer		
=HYPERLINK("https://www.google.com/search?q=Dunlop%20JH3S%20Jimi%20Hendrix%20Octavio%20guitar%20pedal"; "Dunlop JH3S Jimi Hendrix Octavio")	gain	Fuzz	8	screamer		
=HYPERLINK("https://www.google.com/search?q=Dunlop%20JHF1%20Jimi%20Hendrix%20Fuzz%20Face%20guitar%20pedal"; "Dunlop JHF1 Jimi Hendrix Fuzz Face")	gain	Fuzz	7	screamer		
=HYPERLINK("https://www.google.com/search?q=EarthQuaker%20Devices%20Acapulco%20Gold%20guitar%20pedal"; "EarthQuaker Devices Acapulco Gold")	gain	Distortion	8	screamer		
=HYPERLINK("https://www.google.com/search?q=EarthQuaker%20Devices%20Arrows%20V2%20guitar%20pedal"; "EarthQuaker Devices Arrows V2")	gain	Boost	2	mr. clean		
=HYPERLINK("https://www.google.com/search?q=EarthQuaker%20Devices%20Cloven%20Hoof%20guitar%20pedal"; "EarthQuaker Devices Cloven Hoof")	gain	Fuzz	8	screamer		
=HYPERLINK("https://www.google.com/search?q=EarthQuaker%20Devices%20Data%20Corrupter%20guitar%20pedal"; "EarthQuaker Devices Data Corrupter")	gain	Fuzz	10	melt my face		
=HYPERLINK("https://www.google.com/search?q=EarthQuaker%20Devices%20Hoof%20Fuzz%20V2%20guitar%20pedal"; "EarthQuaker Devices Hoof Fuzz V2")	gain	Fuzz	7	screamer		
=HYPERLINK("https://www.google.com/search?q=EarthQuaker%20Devices%20Hoof%20Reaper%20V2%20guitar%20pedal"; "EarthQuaker Devices Hoof Reaper V2")	gain	Fuzz	9	melt my face		
=HYPERLINK("https://www.google.com/search?q=EarthQuaker%20Devices%20Life%20Pedal%20V2%20guitar%20pedal"; "EarthQuaker Devices Life Pedal V2")	gain	Distortion	9	melt my face		
=HYPERLINK("https://www.google.com/search?q=EarthQuaker%20Devices%20Plumes%20guitar%20pedal"; "EarthQuaker Devices Plumes")	gain	Overdrive	5	burner		
=HYPERLINK("https://www.google.com/search?q=EarthQuaker%20Devices%20Special%20Cranker%20guitar%20pedal"; "EarthQuaker Devices Special Cranker")	gain	Overdrive	4	dirty bird		
=HYPERLINK("https://www.google.com/search?q=EarthQuaker%20Devices%20Tentacle%20V2%20guitar%20pedal"; "EarthQuaker Devices Tentacle V2")	gain	Fuzz	7	screamer		
=HYPERLINK("https://www.google.com/search?q=EarthQuaker%20Devices%20Terminal%20Fuzz%20V2%20guitar%20pedal"; "EarthQuaker Devices Terminal Fuzz V2")	gain	Fuzz	9	melt my face		
=HYPERLINK("https://www.google.com/search?q=EarthQuaker%20Devices%20Tone%20Job%20V2%20guitar%20pedal"; "EarthQuaker Devices Tone Job V2")	gain	Boost	3	dirty bird		
=HYPERLINK("https://www.google.com/search?q=EarthQuaker%20Devices%20Tone%20Reaper%20guitar%20pedal"; "EarthQuaker Devices Tone Reaper")	gain	Fuzz	7	screamer		
=HYPERLINK("https://www.google.com/search?q=EarthQuaker%20Devices%20Westwood%20guitar%20pedal"; "EarthQuaker Devices Westwood")	gain	Overdrive	4	dirty bird		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Big%20Muff%20Pi%20guitar%20pedal"; "Electro-Harmonix Big Muff Pi")	gain	Fuzz	8	screamer		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Big%20Muff%20Pi%20(Civil%20War)%20guitar%20pedal"; "Electro-Harmonix Big Muff Pi (Civil War)")	gain	Fuzz	8	screamer		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Big%20Muff%20Pi%20(Triangle)%20guitar%20pedal"; "Electro-Harmonix Big Muff Pi (Triangle)")	gain	Fuzz	8	screamer		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Deluxe%20Big%20Muff%20Pi%20guitar%20pedal"; "Electro-Harmonix Deluxe Big Muff Pi")	gain	Fuzz	9	melt my face		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Green%20Russian%20Big%20Muff%20guitar%20pedal"; "Electro-Harmonix Green Russian Big Muff")	gain	Fuzz	8	screamer		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20LPB-1%20Linear%20Power%20Booster%20guitar%20pedal"; "Electro-Harmonix LPB-1 Linear Power Booster")	gain	Boost	2	mr. clean		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Mole%20Bass%20Booster%20guitar%20pedal"; "Electro-Harmonix Mole Bass Booster")	gain	Boost	2	mr. clean		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Nano%20Big%20Muff%20Pi%20guitar%20pedal"; "Electro-Harmonix Nano Big Muff Pi")	gain	Fuzz	8	screamer		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Op-Amp%20Big%20Muff%20guitar%20pedal"; "Electro-Harmonix Op-Amp Big Muff")	gain	Fuzz	8	screamer		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Op-Amp%20Big%20Muff%20Reissue%20guitar%20pedal"; "Electro-Harmonix Op-Amp Big Muff Reissue")	gain	Fuzz	8	screamer		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Screaming%20Bird%20Treble%20Booster%20guitar%20pedal"; "Electro-Harmonix Screaming Bird Treble Booster")	gain	Boost	2	mr. clean		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Soul%20Food%20guitar%20pedal"; "Electro-Harmonix Soul Food")	gain	Overdrive	3	dirty bird		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Triangle%20Big%20Muff%20guitar%20pedal"; "Electro-Harmonix Triangle Big Muff")	gain	Fuzz	7	screamer		
=HYPERLINK("https://www.google.com/search?q=Emerson%20Custom%20Paramount%20guitar%20pedal"; "Emerson Custom Paramount")	gain	Boost	3	dirty bird		
=HYPERLINK("https://www.google.com/search?q=Fender%20Full%20Moon%20Distortion%20guitar%20pedal"; "Fender Full Moon Distortion")	gain	Overdrive	7	screamer		
=HYPERLINK("https://www.google.com/search?q=Fender%20Pugilist%20Distortion%20guitar%20pedal"; "Fender Pugilist Distortion")	gain	Overdrive	6	burner		
=HYPERLINK("https://www.google.com/search?q=Friedman%20BE-OD%20guitar%20pedal"; "Friedman BE-OD")	gain	Distortion	8	screamer		
=HYPERLINK("https://www.google.com/search?q=Friedman%20BE-OD%20Deluxe%20guitar%20pedal"; "Friedman BE-OD Deluxe")	gain	Distortion	8	screamer		
=HYPERLINK("https://www.google.com/search?q=Friedman%20Dirty%20Shirley%20guitar%20pedal"; "Friedman Dirty Shirley")	gain	Distortion	6	burner		
=HYPERLINK("https://www.google.com/search?q=Friedman%20Smallbox%20guitar%20pedal"; "Friedman Smallbox")	gain	Distortion	7	screamer		
=HYPERLINK("https://www.google.com/search?q=Fulltone%20Fulldrive%202%20guitar%20pedal"; "Fulltone Fulldrive 2")	gain	Overdrive	5	burner		
=HYPERLINK("https://www.google.com/search?q=Fulltone%20OCD%20guitar%20pedal"; "Fulltone OCD")	gain	Overdrive	5	burner		
=HYPERLINK("https://www.google.com/search?q=Fulltone%20Octafuzz%20OF-2%20guitar%20pedal"; "Fulltone Octafuzz OF-2")	gain	Fuzz	8	screamer		
=HYPERLINK("https://www.google.com/search?q=Fulltone%20Plimsoul%20guitar%20pedal"; "Fulltone Plimsoul")	gain	Overdrive	6	burner		
=HYPERLINK("https://www.google.com/search?q=Gamechanger%20Audio%20Plasma%20Pedal%20guitar%20pedal"; "Gamechanger Audio Plasma Pedal")	gain	Distortion	9	melt my face		
=HYPERLINK("https://www.google.com/search?q=Greer%20Amps%20Lightspeed%20Organic%20Overdrive%20guitar%20pedal"; "Greer Amps Lightspeed Organic Overdrive")	gain	Overdrive	3	dirty bird		
=HYPERLINK("https://www.google.com/search?q=Greer%20Amps%20Southland%20guitar%20pedal"; "Greer Amps Southland")	gain	Boost	3	dirty bird		
=HYPERLINK("https://www.google.com/search?q=Ibanez%20TS%20Mini%20Tube%20Screamer%20guitar%20pedal"; "Ibanez TS Mini Tube Screamer")	gain	Overdrive	5	burner		
=HYPERLINK("https://www.google.com/search?q=Ibanez%20TS808%20(Original%201979)%20guitar%20pedal"; "Ibanez TS808 (Original 1979)")	gain	Overdrive	5	burner		
=HYPERLINK("https://www.google.com/search?q=Ibanez%20TS808%20Tube%20Screamer%20guitar%20pedal"; "Ibanez TS808 Tube Screamer")	gain	Overdrive	4	dirty bird		
=HYPERLINK("https://www.google.com/search?q=Ibanez%20TS9%20Tube%20Screamer%20guitar%20pedal"; "Ibanez TS9 Tube Screamer")	gain	Overdrive	5	burner		
=HYPERLINK("https://www.google.com/search?q=Ibanez%20TS9DX%20Turbo%20Tube%20Screamer%20guitar%20pedal"; "Ibanez TS9DX Turbo Tube Screamer")	gain	Overdrive	6	burner		
